type,category,subcategory,title_fa,slug
article,پدیده‌های کوانتومی (`phenomena`),,درهم‌تنیدگی کوانتومی,quantum-entanglement-explained
article,پدیده‌های کوانتومی (`phenomena`),,تونل‌زنی کوانتومی,quantum-tunneling
article,پدیده‌های کوانتومی (`phenomena`),,گربهٔ شرودینگر,schrodinger-cat
article,پدیده‌های کوانتومی (`phenomena`),,نوسانات خلأ,vacuum-fluctuations
article,پدیده‌های کوانتومی (`phenomena`),,اثر کازیمیر,casimir-effect
article,پدیده‌های کوانتومی (`phenomena`),,ابررسانایی,superconductivity
article,پدیده‌های کوانتومی (`phenomena`),,ابرشارگی؛ مایعی که از لیوان بالا می‌رود,superfluidity
article,پدیده‌های کوانتومی (`phenomena`),,همدوسی چیست؟,coherence
article,پدیده‌های کوانتومی (`phenomena`),,صفر مطلق چیست؟,absolute-zero
article,پدیده‌های کوانتومی (`phenomena`),,واپاشی آلفا چیست؟,alpha-decay
article,پدیده‌های کوانتومی (`phenomena`),,گسیل تحریکی چیست؟,stimulated-emission
article,پدیده‌های کوانتومی (`phenomena`),,همجوشی ستارگان چگونه ممکن است؟,stellar-fusion
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),لیزر چطور کار می‌کند؟,how-lasers-work
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),ترانزیستور؛ کوانتوم در جیب شما,transistor-quantum
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),ساعت اتمی و جی‌پی‌اس,atomic-clock-gps
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),ام‌آر‌آی (MRI) چگونه کار می‌کند؟ ریشهٔ کوانتومی آن,mri-quantum
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),پیل خورشیدی و اثر فوتوالکتریک؛ تبدیل نور به جریان زندگی,solar-cells-photoelectric
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),حافظهٔ فلش چطور کار می‌کند؟,flash-memory
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),میکروسکوپ تونلی چیست؟,scanning-tunneling-microscope
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),فیبر نوری چگونه کار می‌کند؟,fiber-optics
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),کیوبیت چیست؟,qubit
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),رمزنگاری کوانتومی و آیندهٔ امنیت اینترنت,quantum-cryptography-internet-security
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),کامپیوتر کوانتومی چیست و چقدر با واقعیت فاصله دارد؟,quantum-computer-reality
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),درهم‌تنیدگی در کامپیوترهای کوانتومی امروزی,entanglement-quantum-computers
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),برتری کوانتومی چیست؟,quantum-supremacy
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),الگوریتم شور چیست؟,shor-algorithm
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),الگوریتم گروور چیست؟,grover-algorithm
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),تصحیح خطای کوانتومی چیست؟,quantum-error-correction
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),شبیه‌سازی کوانتومی چیست؟,quantum-simulation
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),تله‌پورت کوانتومی چیست؟,quantum-teleportation
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),حسگرهای کوانتومی؛ آیندهٔ دقت اندازه‌گیری,quantum-sensors
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),آیا هوش مصنوعی از کوانتوم استفاده می‌کند؟,does-ai-use-quantum
article,فناوری و کاربردهای کوانتومی (`technology`),زیست‌شناسی کوانتومی (`quantum-biology`),فتوسنتز؛ کارآمدترین ماشین جهان و رد پای کوانتوم,quantum-photosynthesis
article,فناوری و کاربردهای کوانتومی (`technology`),زیست‌شناسی کوانتومی (`quantum-biology`),قطب‌نمای پرندگان,bird-quantum-compass
article,فناوری و کاربردهای کوانتومی (`technology`),زیست‌شناسی کوانتومی (`quantum-biology`),حس بویایی؛ شکل یا ارتعاش؟,quantum-smell
article,فناوری و کاربردهای کوانتومی (`technology`),زیست‌شناسی کوانتومی (`quantum-biology`),آنزیم‌ها؛ عبور از دیوار به‌جای پریدن,enzyme-quantum-tunneling
article,فناوری و کاربردهای کوانتومی (`technology`),زیست‌شناسی کوانتومی (`quantum-biology`),آیا جهش ژنتیکی کوانتومی است؟,genetic-mutation
article,تفسیرها و فلسفهٔ کوانتوم (`interpretations`),,تفسیر کپنهاگی,copenhagen-interpretation
article,تفسیرها و فلسفهٔ کوانتوم (`interpretations`),,تفسیر جهان‌های موازی,many-worlds-interpretation
article,تفسیرها و فلسفهٔ کوانتوم (`interpretations`),,تفسیر دوبروی-بوهم چیست؟,pilot-wave
article,تفسیرها و فلسفهٔ کوانتوم (`interpretations`),,آیا کوانتوم یعنی چندجهانی واقعی است؟,is-many-worlds-real
article,تفسیرها و فلسفهٔ کوانتوم (`interpretations`),,آیا فیزیک‌دانان بر سر معنای اندازه‌گیری توافق دارند؟,quantum-interpretation-debate
article,نقد شبه‌علم (`pseudoscience`),,«همه‌چیز انرژی است» — بررسی یک ادعا,everything-is-energy-claim
article,نقد شبه‌علم (`pseudoscience`),,آیا مغز کوانتومی است؟,is-the-brain-quantum
article,نقد شبه‌علم (`pseudoscience`),,آیا مغز انسان از پدیده‌های کوانتومی استفاده می‌کند؟ (بررسی ادعاها),brain-quantum-phenomena
article,نقد شبه‌علم (`pseudoscience`),,کوانتوم و پزشکی,quantum-alternative-medicine-science
article,نقد شبه‌علم (`pseudoscience`),,چگونه ادعای شبه‌علمی را در یک جمله تشخیص دهیم,spot-pseudoscience-one-sentence
article,نقد شبه‌علم (`pseudoscience`),,آیا درهم‌تنیدگی یعنی اطلاعات سریع‌تر از نور منتقل می‌شود؟,entanglement-myths
article,نقد شبه‌علم (`pseudoscience`),,آیا با فکر کردن می‌توان واقعیت کوانتومی را تغییر داد؟,mind-quantum-reality
article,نقد شبه‌علم (`pseudoscience`),,آیا کوانتوم ثابت می‌کند خدا وجود دارد یا ندارد؟,does-quantum-prove-god
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),آزمایش‌های کوانتومی (`experiments`),نوبل فیزیک ۲۰۲۳؛ عکاسی از حرکت الکترون,attosecond-nobel-2023
article,پدیده‌های کوانتومی (`phenomena`),,پارادوکس اطلاعات سیاه چاله؛ معمای هاوکینگ,black-hole-information-paradox
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),تصحیح خطای کوانتومی؛ نقطهٔ عطف گوگل در نیچر,google-error-correction
article,تفسیرها و فلسفهٔ کوانتوم (`interpretations`),,اصل هولوگرافیک؛ آیا جهان ما یک هولوگرام است؟,holographic-principle
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),چرا تله پورت انسان از نظر علمی غیرممکن است؟,human-teleportation
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),پردازندهٔ IBM Condor؛ چرا هزار کیوبیت کافی نیست,ibm-condor-processor
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),پادماده در پزشکی؛ اسکن پت چطور کار می کند؟,pet-scan-antimatter
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),ده دیدگاه فیزیکدانان بزرگ دربارهٔ عجایب کوانتوم,physicists-on-quantum-weirdness
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),رمزنگاری پساکوانتومی؛ قفل های تازهٔ اینترنت,post-quantum-cryptography
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),باتری کوانتومی؛ چرا بزرگ تر یعنی سریع تر؟,quantum-battery
article,فناوری و کاربردهای کوانتومی (`technology`),فناوری‌های روزمره (`everyday-tech`),شیمی کوانتومی چیست؟ چرا دستتان از دیوار رد نمی شود,quantum-chemistry
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),چرا کوانتوم را در زندگی روزمره حس نمی کنیم؟,quantum-classical-boundary
article,تفسیرها و فلسفهٔ کوانتوم (`interpretations`),,داروینیسم کوانتومی؛ چرا همه یک واقعیت می بینیم؟,quantum-darwinism
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),بهترین مستندهای فیزیک کوانتوم که باید ببینید,quantum-documentaries
article,پدیده‌های کوانتومی (`phenomena`),,افت وخیز کوانتومی؛ چطور کهکشان ها متولد شدند؟,quantum-fluctuations-cosmos
article,تفسیرها و فلسفهٔ کوانتوم (`interpretations`),,کوانتوم و ارادهٔ آزاد؛ آیا آینده از قبل نوشته شده؟,quantum-free-will
article,تفسیرها و فلسفهٔ کوانتوم (`interpretations`),,گرانش کوانتومی چیست؟ بزرگ ترین چالش فیزیک,quantum-gravity
article,نقد شبه‌علم (`pseudoscience`),,شفای کوانتومی؛ چرا این ادعا شبه علم است؟,quantum-healing-debunked
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),اینترنت کوانتومی فضایی؛ ماجرای ماهوارهٔ میسیوس,quantum-internet-satellite
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),یادگیری ماشین کوانتومی؛ وعده ها و واقعیت ها,quantum-machine-learning
article,نقد شبه‌علم (`pseudoscience`),,فیزیک کوانتوم در فیلم مرد مورچه ای؛ واقعیت یا تخیل؟,quantum-physics-in-movies-ant-man
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),رادار کوانتومی؛ آیا جنگندهٔ رادارگریز را می بیند؟,quantum-radar
article,پدیده‌های کوانتومی (`phenomena`),,مایع اسپینی کوانتومی؛ ماده ای که هرگز آرام نمی گیرد,quantum-spin-liquid
article,پدیده‌های کوانتومی (`phenomena`),,ترمودینامیک کوانتومی؛ موتوری به اندازهٔ یک اتم,quantum-thermodynamics
article,پدیده‌های کوانتومی (`phenomena`),,آیا سفر در زمان با فیزیک کوانتوم ممکن است؟,quantum-time-travel
article,تفسیرها و فلسفهٔ کوانتوم (`interpretations`),,نظریهٔ ریسمان و کوانتوم؛ جهان از جنس نت است؟,string-theory-quantum
article,پدیده‌های کوانتومی (`phenomena`),,کریستال زمان چیست؟ ماده ای که در زمان تکرار می شود,time-crystal
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,ماکس پلانک,max-planck
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,آلبرت اینشتین,albert-einstein
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,نیلز بور,niels-bohr
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,لویی دوبروی؛ شاهزاده‌ای که الکترون را موج کرد,louis-de-broglie
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,اروین شرودینگر؛ مردی که جهان را موج کرد,erwin-schrodinger
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,ورنر هایزنبرگ؛ جوانی که عدم قطعیت را کشف کرد,werner-heisenberg
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,پل دیراک,paul-dirac
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,ماکس بورن؛ مترجم احتمال در کوانتوم,max-born
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,ولفگانگ پاولی,wolfgang-pauli
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,پاسکوال یوردان,pascual-jordan
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,هانس کرامرس؛ نابغهٔ گمنام مکانیک کوانتومی,hans-kramers
scientist,گروه ۱ — بنیان‌گذاران مکانیک کوانتومی,,آرنولد زومرفلد,arnold-sommerfeld
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,ریچارد فاینمن؛ مردی که کوانتوم را به تصویر کشید,richard-feynman
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,جولیان شوینگر؛ مهارکنندهٔ بی‌نهایت‌ها,julian-schwinger
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,سین-ایتیرو توموناگا؛ نابغهٔ تنها در جنگ,sin-itiro-tomonaga
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,فریمن دایسون,freeman-dyson
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,هرمان وایل,hermann-weyl
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,هیدکی یوکاوا,hideki-yukawa
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,ساتیندرا بوز,satyendra-bose
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,انریکه فرمی,enrico-fermi
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,یوجین ویگنر؛ زبان تقارن در فیزیک,eugene-wigner
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,هانس بته؛ مردی که راز خورشید را گشود,hans-bethe
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,جرج گاموف؛ از تونل‌زنی تا مهبانگ,george-gamow
scientist,گروه ۲ — نظریهٔ میدان‌های کوانتومی و QED,,لو لاندائو؛ نابغه‌ای که سانحه خاموشش کرد,lev-landau
scientist,گروه ۳ — بنیادها، درهم‌تنیدگی و تفسیرها,,جان بل,john-bell
scientist,گروه ۳ — بنیادها، درهم‌تنیدگی و تفسیرها,,هیو اورت,hugh-everett
scientist,گروه ۳ — بنیادها، درهم‌تنیدگی و تفسیرها,,دیوید بوهم,david-bohm
scientist,گروه ۳ — بنیادها، درهم‌تنیدگی و تفسیرها,,جان ویلر؛ مردی که سیاه‌چاله را نام گذاشت,john-wheeler
scientist,گروه ۳ — بنیادها، درهم‌تنیدگی و تفسیرها,,ووی‌چخ زورک؛ توضیح‌دهندهٔ دنیای کلاسیک,wojciech-zurek
scientist,گروه ۳ — بنیادها، درهم‌تنیدگی و تفسیرها,,آلن اسپکت,alain-aspect
scientist,گروه ۳ — بنیادها، درهم‌تنیدگی و تفسیرها,,جان کلاوزر؛ آزمایشگری که به حاشیه گوش نداد,john-clauser
scientist,گروه ۳ — بنیادها، درهم‌تنیدگی و تفسیرها,,آنتونی زایلینگر,anton-zeilinger
scientist,گروه ۳ — بنیادها، درهم‌تنیدگی و تفسیرها,,جان فون‌نویمان؛ مغزی که کوانتوم را بنیان نوشت,john-von-neumann
scientist,گروه ۳ — بنیادها، درهم‌تنیدگی و تفسیرها,,پل اهرنفست؛ پلی که زیر پای خودش شکست,paul-ehrenfest
scientist,گروه ۴ — آزمایشگران و کاشفان,,ارنست رادرفورد؛ کاشف هستهٔ اتم,ernest-rutherford
scientist,گروه ۴ — آزمایشگران و کاشفان,,رابرت میلیکان؛ وزن کردن بار الکترون,robert-millikan
scientist,گروه ۴ — آزمایشگران و کاشفان,,اتو اشترن؛ آزمایشی که اسپین را عینی کرد,otto-stern
scientist,گروه ۴ — آزمایشگران و کاشفان,,آکیرا تونومورا؛ الکترون‌ها یکی‌یکی,akira-tonomura
scientist,گروه ۴ — آزمایشگران و کاشفان,,لئو اساکی؛ دیودی که از دیوار عبور کرد,leo-esaki
scientist,گروه ۴ — آزمایشگران و کاشفان,,برایان جوزفسون؛ پیش‌بینی در ۲۲سالگی,brian-josephson
scientist,گروه ۴ — آزمایشگران و کاشفان,,گرد بینینگ؛ نخستین نگاه به اتم‌ها,gerd-binnig
scientist,گروه ۴ — آزمایشگران و کاشفان,,هاینریش روهرر؛ دیدن اتم‌ها با لمس,heinrich-rohrer
scientist,گروه ۴ — آزمایشگران و کاشفان,,چارلز ویلسون,charles-wilson
scientist,گروه ۴ — آزمایشگران و کاشفان,,آرتور کامپتون,arthur-compton
scientist,گروه ۵ — پیشینیان کلاسیک و ریاضی‌دانان,,آیزاک نیوتن,isaac-newton
scientist,گروه ۵ — پیشینیان کلاسیک و ریاضی‌دانان,,جیمز کلرک ماکسول؛ مرد چهار معادله,james-clerk-maxwell
scientist,گروه ۵ — پیشینیان کلاسیک و ریاضی‌دانان,,لودویگ بولتزمن؛ شمارندهٔ بی‌نظمی,ludwig-boltzmann
scientist,گروه ۵ — پیشینیان کلاسیک و ریاضی‌دانان,,دیوید هیلبرت,david-hilbert
scientist,گروه ۵ — پیشینیان کلاسیک و ریاضی‌دانان,,امی نوتر؛ زنی که تقارن را ترجمه کرد,emmy-noether
scientist,گروه ۶ — شیمی، هسته و رایانش کوانتومی,,ماری کوری؛ دو نوبل، یک زندگی,marie-curie
scientist,گروه ۶ — شیمی، هسته و رایانش کوانتومی,,لیزه مایتنر؛ مادر شکافت هسته‌ای,lise-meitner
scientist,گروه ۶ — شیمی، هسته و رایانش کوانتومی,,پیتر شور,peter-shor
scientist,گروه ۶ — شیمی، هسته و رایانش کوانتومی,,دیوید دویچ,david-deutsch
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),پارادوکس EPR؛ اعتراض اینشتین که فیزیک را جلو برد,epr-paradox
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),گیت کوانتومی؛ آجرهای سازندهٔ کامپیوتر کوانتومی,quantum-gate
article,فناوری و کاربردهای کوانتومی (`technology`),رایانش و ارتباطات کوانتومی (`computing`),قضیهٔ عدم کپی؛ چرا کوانتوم را نمی توان تکثیر کرد؟,no-cloning-theorem
