slug,عنوان,دسته,خروجی,ورودی,دوطرفه,مقاصد
"quantum-computer-reality","کامپیوتر کوانتومی چیست و چقدر با واقعیت فاصله دارد؟","quantum-computing",8,7,3,"decoherence does-ai-use-quantum entanglement-quantum-computers quantum-cryptography-internet-security quantum-entanglement-explained quantum-simulation quantum-superposition qubit"
"wave-particle-duality","دوگانگی موج و ذره","core-concepts",6,7,1,"electron photoelectric-effect photon quantum-superposition quantum-tunneling transistor-quantum"
"absolute-zero","صفر مطلق چیست؟","phenomena",5,7,0,"casimir-effect energy-levels superconductivity superfluidity vacuum-fluctuations"
"vacuum-fluctuations","نوسانات خلأ","phenomena",2,6,1,"is-classical-physics-wrong virtual-particles"
"mri-quantum","ام‌آرآی (MRI) چگونه کار می‌کند؟ ریشهٔ کوانتومی آن","everyday-tech",2,6,2,"nuclear-spin quantum-alternative-medicine-science"
"post-quantum-cryptography","رمزنگاری پساکوانتومی؛ قفل های تازهٔ اینترنت","technology",4,6,0,"quantum-cryptography-internet-security quantum-entanglement-explained qubit shor-algorithm"
"schrodinger-cat","گربهٔ شرودینگر","phenomena",1,5,1,"schrodinger-life-equation"
"atomic-clock-gps","ساعت اتمی و جی‌پی‌اس","everyday-tech",0,5,0,""
"quantum-supremacy","برتری کوانتومی چیست؟","technology",6,5,1,"decoherence quantum-entanglement-explained quantum-error-correction quantum-superposition qubit shor-algorithm"
"quantum-gravity","گرانش کوانتومی چیست؟ بزرگ ترین چالش فیزیک","interpretations",4,5,1,"black-hole-information-paradox energy-levels photon vacuum-fluctuations"
"q-day","روز کیو چیست و واقعاً کِی می رسد؟","technology",7,5,2,"bitcoin-quantum-threat google-error-correction harvest-now-decrypt-later post-quantum-cryptography quantum-cryptography-internet-security quantum-error-correction shor-algorithm"
"casimir-effect","اثر کازیمیر","phenomena",1,4,1,"virtual-particles"
"ultraviolet-catastrophe","فاجعهٔ فرابنفش","history-experiments",0,4,0,""
"everything-is-energy-claim","«همه‌چیز انرژی است» — بررسی یک ادعا","pseudoscience",1,4,1,"law-of-attraction-quantum"
"quantum-interpretation-debate","آیا فیزیک دانان بر سر معنای اندازه گیری توافق دارند؟","interpretations",6,4,0,"copenhagen-interpretation decoherence double-slit-experiment many-worlds-interpretation quantum-measurement wave-function"
"is-the-brain-quantum","آیا مغز کوانتومی است؟","pseudoscience",1,4,1,"brain-quantum-phenomena"
"quark","کوارک چیست؟","fundamentals",5,4,1,"electron higgs-boson pauli-exclusion-principle photon quantum-spin"
"aspect-experiment-1982","آزمایش آسپه ۱۹۸۲ چه بود؟","history-experiments",7,4,3,"bell-experiments bell-inequality epr-paradox photon quantum-cryptography-internet-security quantum-entanglement-explained what-is-quantum"
"grover-algorithm","الگوریتم گروور چیست؟","technology",5,4,0,"double-slit-experiment quantum-cryptography-internet-security quantum-measurement quantum-superposition shor-algorithm"
"google-error-correction","تصحیح خطای کوانتومی؛ نقطهٔ عطف گوگل در نیچر","technology",6,4,0,"decoherence human-teleportation photon quantum-superposition qubit shor-algorithm"
"human-teleportation","چرا تله پورت انسان از نظر علمی غیرممکن است؟","core-concepts",8,4,1,"decoherence electron photon quantum-classical-boundary quantum-internet-satellite quantum-teleportation qubit what-is-quantum"
"willow-chip","تراشهٔ ویلو؛ گوگل واقعاً چه چیزی را ثابت کرد؟","technology",7,4,0,"decoherence nobel-physics-2025 q-day quantum-computer-reality quantum-error-correction quantum-supremacy shor-algorithm"
"superfluidity","ابرشارگی؛ مایعی که از لیوان بالا می‌رود","phenomena",2,3,1,"bose-einstein-condensate electron"
"bohr-atomic-model","مدل اتمی بور","history-experiments",1,3,1,"is-classical-physics-wrong"
"quantum-teleportation","تله پورت کوانتومی چیست؟","technology",7,3,1,"decoherence fiber-optics quantum-cryptography-internet-security quantum-documentaries quantum-entanglement-explained quantum-measurement qubit"
"quantum-career-future-learn","آینده شغلی: آیا باید فیزیک کوانتوم یاد بگیریم؟","quantum-computing",6,3,1,"atomic-clock-gps how-lasers-work quantum-cryptography-internet-security quantum-learning-resources qubit transistor-quantum"
"quantum-sensors","حسگرهای کوانتومی؛ آیندهٔ دقت اندازه‌گیری","quantum-computing",8,3,1,"atomic-clock-gps decoherence energy-levels mri-quantum quantum-battery quantum-navigation quantum-spin quantum-superposition"
"feynman-quantum-explainer","فاینمن: نابغه‌ای که کوانتوم را ساده توضیح می‌داد","history",5,3,1,"double-slit-experiment forgotten-women-quantum quantum-career-future-learn quantum-interpretation-debate quantum-understanding-achievement"
"pauli-exclusion-principle","اصل طرد پاولی دقیقاً چه می‌گوید؟ به زبان ساده","core-concepts",2,3,0,"electron quantum-spin"
"quantum-photosynthesis","فتوسنتز؛ کارآمدترین ماشین جهان و رد پای کوانتوم","quantum-biology",0,3,0,""
"mind-quantum-reality","آیا با فکر کردن می توان واقعیت کوانتومی را تغییر داد؟","pseudoscience",8,3,1,"decoherence double-slit-experiment everything-is-energy-claim is-the-brain-quantum law-of-attraction-quantum quantum-measurement spot-pseudoscience-one-sentence wigner-friend"
"quantum-understanding-achievement","چرا «نفهمیدنِ درست» کوانتوم، خودش یک دستاورد است؟","fundamentals",5,3,0,"electron quantum-superposition qubit transistor-quantum what-is-quantum"
"quantum-alternative-medicine-science","کوانتوم و پزشکی","pseudoscience",2,3,2,"mri-quantum spot-pseudoscience-one-sentence"
"higgs-boson","بوزون هیگز چیست؟","fundamentals",5,3,2,"electron pauli-exclusion-principle photon quantum-spin quark"
"standard-model","مدل استاندارد چیست؟","fundamentals",5,3,2,"electron higgs-boson neutrino photon quark"
"nuclear-spin","اسپین هسته‌ای چیست؟","fundamentals",5,3,1,"electron energy-levels mri-quantum photon quantum-spin"
"fiber-optics","فیبر نوری چگونه کار می‌کند؟","everyday-tech",5,3,2,"how-lasers-work photon quantum-cryptography-internet-security quantum-entanglement-explained quantum-teleportation"
"stellar-fusion","همجوشی ستارگان چگونه ممکن است؟","phenomena",5,3,1,"absolute-zero energy-levels photon quantum-superposition quantum-tunneling"
"epr-paradox","پارادوکس EPR؛ اعتراض اینشتین که فیزیک را جلو برد","history-experiments",4,3,1,"aspect-experiment-1982 bell-inequality human-teleportation quantum-entanglement-explained"
"law-of-attraction-quantum","قانون جذب و کوانتوم؛ کجای این استدلال می لنگد؟","pseudoscience",7,3,2,"decoherence double-slit-experiment entanglement-myths everything-is-energy-claim is-the-brain-quantum quantum-entanglement-explained spot-pseudoscience-one-sentence"
"nobel-physics-2025","نوبل فیزیک ۲۰۲۵؛ وقتی یک مدار مثل اتم رفتار کرد","history-experiments",8,3,1,"decoherence energy-levels josephson-junction quantum-classical-boundary quantum-gate quantum-tunneling qubit superconductivity"
"quantum-physics-vs-quantum-mechanics","تفاوت فیزیک کوانتوم و مکانیک کوانتومی چیست؟","core-concepts",4,2,0,"photon quantum-superposition qubit wave-function"
"is-classical-physics-wrong","آیا فیزیک کلاسیک اشتباه بود؟ نه، محدود بود","fundamentals",8,2,1,"bohr-atomic-model decoherence electron energy-levels photoelectric-effect planck-constant ultraviolet-catastrophe what-is-quantum"
"is-many-worlds-real","آیا کوانتوم یعنی چندجهانی واقعی است؟","interpretations",4,2,0,"copenhagen-interpretation many-worlds-interpretation quantum-measurement quantum-superposition"
"dirac-antimatter","دیراک و پیش‌بینی پادماده؛ وقتی ریاضیات از واقعیت جلو زد","history",9,2,1,"antimatter electron mri-quantum pet-scan-antimatter quantum-spin schrodinger-life-equation spot-pseudoscience-one-sentence stern-gerlach-experiment wave-function"
"forgotten-women-quantum","زنان فراموش‌شدهٔ فیزیک کوانتوم","history",3,2,0,"energy-levels max-planck-blackbody quantum-spin"
"schrodinger-life-equation","شرودینگر: زندگی، معادله و گربه‌ای که هرگز نداشت","history",4,2,1,"feynman-quantum-explainer quantum-superposition schrodinger-cat wave-function"
"einstein-bohr-debate","نبرد اینشتین و بور بر سر معنای کوانتوم","history",9,2,0,"bell-inequality copenhagen-interpretation determinism-vs-probability dirac-antimatter does-quantum-prove-god forgotten-women-quantum quantum-entanglement-explained quantum-interpretation-debate quantum-measurement"
"max-planck-blackbody","پلانک و بحران تابش جسم سیاه؛ جرقه‌ای که فیزیک را متحول کرد","history",5,2,0,"einstein-photoelectric-effect energy-levels photoelectric-effect planck-constant ultraviolet-catastrophe"
"quantum-smell","حس بویایی؛ شکل یا ارتعاش؟","technology",0,2,0,""
"entanglement-myths","آیا درهم تنیدگی یعنی اطلاعات سریع تر از نور منتقل می شود؟","pseudoscience",6,2,0,"bell-inequality decoherence quantum-cryptography-internet-security quantum-entanglement-explained quantum-measurement quantum-teleportation"
"einstein-photoelectric-effect","اینشتین و اثر فوتوالکتریک (نه فقط نسبیت)","history",6,2,0,"einstein-bohr-debate photoelectric-effect photon planck-constant ultraviolet-catastrophe wave-particle-duality"
"superposition-explained","برهم نهی چیست؟ وقتی یک ذره «هم این است هم آن»","core-concepts",8,2,0,"decoherence double-slit-experiment quantum-cryptography-internet-security quantum-measurement quantum-superposition qubit schrodinger-cat wave-function"
"antimatter","پادماده چیست؟","fundamentals",5,2,1,"dirac-antimatter electron photon quantum-spin quark"
"virtual-particles","ذرات مجازی چیستند؟","fundamentals",6,2,2,"casimir-effect electron heisenberg-uncertainty-principle photon quantum-fluctuations-cosmos vacuum-fluctuations"
"stern-gerlach-experiment","آزمایش اشترن-گرلاخ چیست؟","history-experiments",5,2,1,"electron nuclear-spin quantum-measurement quantum-spin qubit"
"stimulated-emission","گسیل تحریکی چیست؟","phenomena",5,2,1,"coherence electron energy-levels how-lasers-work photon"
"flash-memory","حافظهٔ فلش چطور کار می‌کند؟","everyday-tech",5,2,1,"electron energy-levels quantum-tunneling scanning-tunneling-microscope transistor-quantum"
"quantum-simulation","شبیه‌سازی کوانتومی چیست؟","technology",5,2,1,"quantum-computer-reality quantum-error-correction quantum-superposition quantum-supremacy qubit"
"pilot-wave","تفسیر دوبروی-بوهم چیست؟","interpretations",6,2,1,"bell-inequality copenhagen-interpretation double-slit-experiment many-worlds-interpretation quantum-entanglement-explained wave-function"
"holographic-principle","اصل هولوگرافیک؛ آیا جهان ما یک هولوگرام است؟","interpretations",4,2,0,"many-worlds-interpretation quantum-entanglement-explained quantum-gravity vacuum-fluctuations"
"quantum-internet-satellite","اینترنت کوانتومی فضایی؛ ماجرای ماهوارهٔ میسیوس","technology",5,2,1,"human-teleportation photon post-quantum-cryptography quantum-entanglement-explained quantum-radar"
"physicists-on-quantum-weirdness","ده دیدگاه فیزیکدانان بزرگ دربارهٔ عجایب کوانتوم","history-experiments",4,2,0,"post-quantum-cryptography quantum-classical-boundary quantum-internet-satellite why-quantum-math-works"
"quantum-gate","گیت کوانتومی؛ آجرهای سازندهٔ کامپیوتر کوانتومی","technology",6,2,0,"decoherence double-slit-experiment google-error-correction grover-algorithm quantum-entanglement-explained quantum-superposition"
"harvest-now-decrypt-later","الان جمع کن، بعداً رمزگشایی کن؛ تهدیدی که فعال است","technology",5,2,2,"no-cloning-theorem post-quantum-cryptography q-day quantum-cryptography-internet-security shor-algorithm"
"moore-law-quantum-limit","پایان قانون مور؛ چرا ترانزیستورها به دیوار خوردند؟","everyday-tech",6,2,2,"flash-memory quantum-computer-reality quantum-superposition quantum-tunneling qubit transistor-quantum"
"quantum-hype-bubble","حباب هیجان کوانتومی؛ چقدرش واقعی است؟","pseudoscience",14,2,0,"decoherence grover-algorithm post-quantum-cryptography q-day quantum-computer-reality quantum-cryptography-internet-security quantum-error-correction quantum-random-number-generator quantum-supremacy qubit room-temperature-superconductor shor-algorithm spot-pseudoscience-one-sentence willow-chip"
"quantum-zeno-effect","اثر زنون کوانتومی","history-experiments",1,1,0,"photon"
"enzyme-quantum-tunneling","آنزیم‌ها؛ عبور از دیوار به‌جای پریدن","technology",0,1,0,""
"coin-vs-dice-quantum-uncertainty","تمثیل تاس در مقابل تمثیل سکه: کدام برای عدم قطعیت بهتر است؟","fundamentals",9,1,0,"bell-inequality electron energy-levels heisenberg-uncertainty-principle photon quantum-spin quantum-superposition qubit what-is-quantum"
"brain-quantum-phenomena","آیا مغز انسان از پدیده های کوانتومی استفاده می کند؟ (بررسی ادعاها)","pseudoscience",5,1,1,"decoherence is-the-brain-quantum quantum-photosynthesis quantum-smell spot-pseudoscience-one-sentence"
"does-ai-use-quantum","آیا هوش مصنوعی از کوانتوم استفاده می کند؟","quantum-computing",4,1,0,"quantum-entanglement-explained quantum-machine-learning qubit transistor-quantum"
"why-large-objects-dont-superpose","برهم نهی یعنی چه، و چرا اشیای بزرگ برهم نهی نمی شوند","fundamentals",4,1,0,"decoherence quantum-classical-boundary superconductivity superfluidity"
"quantum-analogy-exercise-boundary","تمرین ذهنی: خودتان یک تمثیل بسازید و مرزش را پیدا کنید","fundamentals",4,1,0,"quantum-measurement quantum-superposition quantum-tunneling wave-function"
"quantum-fivefold-mental-map","نقشهٔ ذهنی پنج‌گانه برای فهم درست کوانتوم","core-concepts",6,1,0,"quantum-analogy-exercise-boundary quantum-interpretation-debate quantum-superposition quantum-understanding-achievement schrodinger-cat why-large-objects-dont-superpose"
"entanglement-quantum-computers","درهم‌تنیدگی در کامپیوترهای کوانتومی امروزی","quantum-computing",6,1,0,"bell-inequality decoherence is-many-worlds-real quantum-cryptography-internet-security quantum-superposition qubit"
"quantum-learning-resources","منابع معتبر فارسی و انگلیسی برای یادگیری عمیق‌تر کوانتوم","core-concepts",5,1,1,"quantum-career-future-learn quantum-physics-vs-quantum-mechanics qubit spot-pseudoscience-one-sentence superposition-explained"
"solar-cells-photoelectric","پنل خورشیدی و اثر فوتوالکتریک؛ تبدیل نور به جریان زندگی","everyday-tech",5,1,0,"einstein-photoelectric-effect energy-levels photoelectric-effect spot-pseudoscience-one-sentence transistor-quantum"
"why-quantum-math-works","چرا ریاضیات کوانتوم درست است ولی فهمش سخت است؟","core-concepts",6,1,0,"heisenberg-uncertainty-principle quantum-career-future-learn quantum-physics-vs-quantum-mechanics quantum-understanding-achievement superposition-explained wave-function"
"bird-quantum-compass","قطب‌نمای پرندگان","technology",0,1,0,""
"bell-experiments","آزمایش های بل: چگونه درهم تنیدگی اثبات شد!","history-experiments",7,1,1,"aspect-experiment-1982 bell-inequality decoherence quantum-cryptography-internet-security quantum-entanglement-explained quantum-measurement quantum-spin"
"does-quantum-prove-god","آیا کوانتوم ثابت می کند خدا وجود دارد یا ندارد؟","pseudoscience",4,1,0,"double-slit-experiment quantum-entanglement-explained quantum-measurement spot-pseudoscience-one-sentence"
"determinism-vs-probability","تفاوت جبرگرایی کلاسیک و احتمال کوانتومی","fundamentals",8,1,0,"aspect-experiment-1982 bell-inequality decoherence electron quantum-free-will quantum-measurement wave-function what-is-quantum"
"neutrino","نوترینو چیست؟","fundamentals",7,1,1,"electron energy-levels photon quantum-spin quark standard-model stellar-fusion"
"solvay-conference-1927","کنفرانس سولوی ۱۹۲۷ چه بود؟","history-experiments",6,1,0,"copenhagen-interpretation einstein-bohr-debate electron epr-paradox heisenberg-uncertainty-principle photon"
"coherence","همدوسی چیست؟","phenomena",6,1,0,"decoherence how-lasers-work quantum-entanglement-explained quantum-superposition qubit wave-function"
"alpha-decay","واپاشی آلفا چیست؟","phenomena",5,1,1,"energy-levels nuclear-spin quantum-tunneling standard-model what-is-quantum"
"scanning-tunneling-microscope","میکروسکوپ تونلی چیست؟","everyday-tech",6,1,1,"double-slit-experiment electron flash-memory quantum-spin quantum-tunneling wave-particle-duality"
"bose-einstein-condensate","چگالش بوز-اینشتین چیست؟","phenomena",8,1,1,"absolute-zero photon quantum-superposition superconductivity superfluidity wave-function wave-particle-duality what-is-quantum"
"genetic-mutation","آیا جهش ژنتیکی کوانتومی است؟","technology",5,1,1,"bird-quantum-compass enzyme-quantum-tunneling quantum-photosynthesis quantum-smell quantum-tunneling"
"quantum-chemistry","شیمی کوانتومی چیست؟ چرا دستتان از دیوار رد نمی شود","everyday-tech",4,1,0,"electron pauli-exclusion-principle quantum-century-2025 qubit"
"quantum-darwinism","داروینیسم کوانتومی؛ چرا همه یک واقعیت می بینیم؟","interpretations",5,1,0,"copenhagen-interpretation decoherence many-worlds-interpretation photon quantum-superposition"
"quantum-free-will","کوانتوم و ارادهٔ آزاد؛ آیا آینده از قبل نوشته شده؟","interpretations",4,1,0,"bell-inequality decoherence heisenberg-uncertainty-principle is-the-brain-quantum"
"quantum-healing-debunked","شفای کوانتومی؛ چرا این ادعا شبه علم است؟","pseudoscience",7,1,0,"decoherence everything-is-energy-claim mri-quantum quantum-alternative-medicine-science quantum-entanglement-explained quantum-superposition stimulated-emission"
"string-theory-quantum","نظریهٔ ریسمان و کوانتوم؛ جهان از جنس نت است؟","interpretations",3,1,0,"photon quantum-gravity superconductivity"
"time-crystal","کریستال زمان چیست؟ ماده ای که در زمان تکرار می شود","phenomena",4,1,0,"decoherence energy-levels quantum-spin qubit"
"attosecond-nobel-2023","نوبل فیزیک ۲۰۲۳؛ عکاسی از حرکت الکترون","history-experiments",3,1,0,"electron photoelectric-effect photon"
"ibm-condor-processor","پردازندهٔ IBM Condor؛ چرا هزار کیوبیت کافی نیست","technology",4,1,0,"decoherence quantum-error-correction qubit superconductivity"
"pet-scan-antimatter","پادماده در پزشکی؛ اسکن پت چطور کار می کند؟","everyday-tech",4,1,0,"antimatter electron mri-quantum photon"
"quantum-battery","باتری کوانتومی؛ چرا بزرگ تر یعنی سریع تر؟","everyday-tech",5,1,0,"decoherence energy-levels how-lasers-work qubit transistor-quantum"
"quantum-fluctuations-cosmos","افت وخیز کوانتومی؛ چطور کهکشان ها متولد شدند؟","phenomena",3,1,0,"casimir-effect heisenberg-uncertainty-principle vacuum-fluctuations"
"quantum-machine-learning","یادگیری ماشین کوانتومی؛ وعده ها و واقعیت ها","technology",3,1,0,"quantum-chemistry quantum-error-correction qubit"
"quantum-radar","رادار کوانتومی؛ آیا جنگندهٔ رادارگریز را می بیند؟","technology",4,1,0,"decoherence photon quantum-entanglement-explained quantum-sensors"
"quantum-spin-liquid","مایع اسپینی کوانتومی؛ ماده ای که هرگز آرام نمی گیرد","phenomena",4,1,1,"absolute-zero quantum-entanglement-explained quantum-spin qubit"
"quantum-thermodynamics","ترمودینامیک کوانتومی؛ موتوری به اندازهٔ یک اتم","phenomena",4,1,0,"energy-levels quantum-photosynthesis quantum-spin qubit"
"black-hole-information-paradox","پارادوکس اطلاعات سیاه چاله؛ معمای هاوکینگ","phenomena",2,1,1,"holographic-principle quantum-gravity"
"quantum-documentaries","بهترین مستندهای فیزیک کوانتوم که باید ببینید","core-concepts",9,1,0,"decoherence double-slit-experiment google-error-correction quantum-classical-boundary quantum-healing-debunked quantum-superposition schrodinger-cat string-theory-quantum what-is-quantum"
"quantum-physics-in-movies-ant-man","فیزیک کوانتوم در فیلم مرد مورچه ای؛ واقعیت یا تخیل؟","pseudoscience",3,1,1,"quantum-classical-boundary quantum-darwinism quantum-time-travel"
"quantum-time-travel","آیا سفر در زمان با فیزیک کوانتوم ممکن است؟","phenomena",3,1,0,"many-worlds-interpretation quantum-entanglement-explained quantum-gravity"
"no-cloning-theorem","قضیهٔ عدم کپی؛ چرا کوانتوم را نمی توان تکثیر کرد؟","technology",4,1,0,"google-error-correction human-teleportation quantum-cryptography-internet-security quantum-superposition"
"quantum-dots-displays","نقطهٔ کوانتومی؛ کوانتومی که در تلویزیون شماست","everyday-tech",5,1,1,"energy-levels how-lasers-work qubit solar-cells-photoelectric wave-particle-duality"
"bitcoin-quantum-threat","آیا کامپیوتر کوانتومی بیت کوین را نابود می کند؟","technology",5,1,1,"grover-algorithm post-quantum-cryptography q-day shor-algorithm willow-chip"
"quantum-eraser","پاک کن کوانتومی؛ آیا آینده بر گذشته اثر می گذارد؟","history-experiments",4,1,1,"copenhagen-interpretation double-slit-experiment entanglement-myths wave-particle-duality"
"quantum-century-2025","صد سالگی کوانتوم؛ از جزیرهٔ هلگولاند تا امروز","history-experiments",14,1,0,"bell-inequality epr-paradox heisenberg-uncertainty-principle max-planck-blackbody nobel-physics-2025 photoelectric-effect q-day quantum-interpretation-debate qubit schrodinger-cat solvay-conference-1927 ultraviolet-catastrophe wave-function willow-chip"
"quantum-random-number-generator","عدد تصادفی کوانتومی؛ تنها تصادف واقعی جهان","technology",6,1,0,"bell-inequality coin-vs-dice-quantum-uncertainty quantum-cryptography-internet-security quantum-entanglement-explained quantum-measurement quantum-superposition"
"room-temperature-superconductor","ابررسانای دمای اتاق؛ درس LK-99 دربارهٔ هیجان علمی","pseudoscience",3,1,0,"qubit spot-pseudoscience-one-sentence superconductivity"
"zero-point-energy-scam","انرژی نقطهٔ صفر و افسانهٔ انرژی رایگان","pseudoscience",7,1,0,"absolute-zero casimir-effect everything-is-energy-claim heisenberg-uncertainty-principle mind-quantum-reality quantum-thermodynamics vacuum-fluctuations"
"quantum-annealing-dwave","آنیلینگ کوانتومی؛ چرا هزار کیوبیت یعنی هزار کیوبیت نیست","technology",11,1,0,"absolute-zero decoherence grover-algorithm quantum-error-correction quantum-gate quantum-hype-bubble quantum-simulation quantum-supremacy quantum-tunneling shor-algorithm superconductivity"
"josephson-junction","پیوند جوزفسون؛ قلب تپندهٔ کامپیوتر کوانتومی","technology",11,1,1,"absolute-zero decoherence ibm-condor-processor nobel-physics-2025 quantum-annealing-dwave quantum-classical-boundary quantum-sensors quantum-tunneling qubit superconductivity willow-chip"
"quantum-navigation","ناوبری کوانتومی؛ مسیریابی بدون ماهواره","technology",6,1,1,"absolute-zero atomic-clock-gps double-slit-experiment quantum-hype-bubble quantum-sensors quantum-superposition"
"wigner-friend","پارادوکس دوست ویگنر؛ آیا واقعیت برای همه یکی است؟","interpretations",8,1,1,"bell-inequality copenhagen-interpretation decoherence double-slit-experiment many-worlds-interpretation mind-quantum-reality quantum-measurement quantum-superposition"
"quantum-immortality","جاودانگی کوانتومی؛ کجای این استدلال می لنگد؟","pseudoscience",7,1,1,"decoherence is-many-worlds-real many-worlds-interpretation quantum-classical-boundary quantum-superposition spot-pseudoscience-one-sentence zero-point-energy-scam"
"simulation-hypothesis-quantum","آیا جهان یک شبیه سازی است؟ نقد سه استدلال کوانتومی","pseudoscience",6,1,1,"decoherence double-slit-experiment holographic-principle mind-quantum-reality quantum-gravity spot-pseudoscience-one-sentence"
