title,slug,status,category,subcategory,url,id,date
آیا فیزیک کلاسیک اشتباه بود؟ نه، محدود بود,is-classical-physics-wrong,publish,مبانی و مفاهیم کوانتوم,,https://qpedia.ir/is-classical-physics-wrong/,560,2026-09-03 02:46:34
آیا مغز انسان از پدیده های کوانتومی استفاده می کند؟ (بررسی ادعاها),brain-quantum-phenomena,publish,نقد شبه‌علم,,https://qpedia.ir/brain-quantum-phenomena/,562,2026-09-03 02:50:05
آیا مغز کوانتومی است؟,is-the-brain-quantum,publish,نقد شبه‌علم,,https://qpedia.ir/is-the-brain-quantum/,321,2026-09-03 03:20:41
آیا هوش مصنوعی از کوانتوم استفاده می کند؟,does-ai-use-quantum,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/does-ai-use-quantum/,563,2026-09-03 02:50:33
آیا کامپیوتر کوانتومی بیت کوین را نابود می کند؟,bitcoin-quantum-threat,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/bitcoin-quantum-threat/,2521,2026-09-06 01:32:27
آیا کوانتوم ثابت می کند خدا وجود دارد یا ندارد؟,does-quantum-prove-god,publish,نقد شبه‌علم,,https://qpedia.ir/does-quantum-prove-god/,564,2026-09-03 03:03:59
آیا کوانتوم یعنی چندجهانی واقعی است؟,is-many-worlds-real,publish,تفسیرها و فلسفهٔ کوانتوم,,https://qpedia.ir/is-many-worlds-real/,565,2026-09-03 02:52:30
آینده شغلی: آیا باید فیزیک کوانتوم یاد بگیریم؟,quantum-career-future-learn,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-career-future-learn/,566,2026-09-01 09:01:13
ابررسانای دمای اتاق؛ درس LK-99 دربارهٔ هیجان علمی,room-temperature-superconductor,publish,نقد شبه‌علم,,https://qpedia.ir/room-temperature-superconductor/,2528,2026-09-06 02:34:03
ابررسانایی,superconductivity,publish,پدیده‌های کوانتومی,,https://qpedia.ir/superconductivity/,305,2026-09-03 03:45:19
ابرشارگی؛ مایعی که از لیوان بالا می‌رود,superfluidity,publish,پدیده‌های کوانتومی,,https://qpedia.ir/superfluidity/,306,2026-08-23 00:29:03
اثر زنون کوانتومی,quantum-zeno-effect,publish,تاریخ و آزمایش‌های کوانتوم,آزمایش‌های کوانتومی,https://qpedia.ir/quantum-zeno-effect/,302,2026-08-23 00:29:03
اثر فوتوالکتریک,photoelectric-effect,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/photoelectric-effect/,300,2026-09-03 03:49:03
اثر کازیمیر,casimir-effect,publish,پدیده‌های کوانتومی,,https://qpedia.ir/casimir-effect/,304,2026-08-23 00:29:03
اسپین هسته‌ای چیست؟,nuclear-spin,publish,مبانی و مفاهیم کوانتوم,ذرات بنیادی,https://qpedia.ir/nuclear-spin/,2235,2026-09-03 19:26:56
اسپین؛ چرخشی که چرخش نیست,quantum-spin,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/quantum-spin/,292,2026-09-03 03:38:01
اصل طرد پاولی دقیقاً چه می‌گوید؟ به زبان ساده,pauli-exclusion-principle,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/pauli-exclusion-principle/,509,2026-09-03 03:15:23
اصل عدم قطعیت هایزنبرگ به زبان ساده,heisenberg-uncertainty-principle,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/heisenberg-uncertainty-principle/,567,2026-09-01 09:01:13
اصل هولوگرافیک؛ آیا جهان ما یک هولوگرام است؟,holographic-principle,publish,تفسیرها و فلسفهٔ کوانتوم,,https://qpedia.ir/holographic-principle/,2478,2026-09-05 22:39:44
افت وخیز کوانتومی؛ چطور کهکشان ها متولد شدند؟,quantum-fluctuations-cosmos,publish,پدیده‌های کوانتومی,,https://qpedia.ir/quantum-fluctuations-cosmos/,2493,2026-09-05 23:05:17
الان جمع کن، بعداً رمزگشایی کن؛ تهدیدی که فعال است,harvest-now-decrypt-later,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/harvest-now-decrypt-later/,2520,2026-09-06 01:32:27
الکترون چیست؟ ویژگی‌ها، نقش در اتم و برق,electron,publish,مبانی و مفاهیم کوانتوم,ذرات بنیادی,https://qpedia.ir/electron/,505,2026-09-03 03:16:13
الگوریتم شور چیست؟,shor-algorithm,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/shor-algorithm/,2251,2026-09-05 22:38:18
الگوریتم گروور چیست؟,grover-algorithm,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/grover-algorithm/,2252,2026-09-05 22:38:18
ام‌آرآی (MRI) چگونه کار می‌کند؟ ریشهٔ کوانتومی آن,mri-quantum,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/mri-quantum/,514,2026-09-03 03:29:58
اندازه‌گیری و فروپاشی,quantum-measurement,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/quantum-measurement/,291,2026-09-03 03:38:59
انرژی نقطهٔ صفر و افسانهٔ انرژی رایگان,zero-point-energy-scam,publish,نقد شبه‌علم,,https://qpedia.ir/zero-point-energy-scam/,2529,2026-09-06 02:34:03
اینترنت کوانتومی فضایی؛ ماجرای ماهوارهٔ میسیوس,quantum-internet-satellite,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-internet-satellite/,2494,2026-09-05 23:05:17
اینشتین و اثر فوتوالکتریک (نه فقط نسبیت),einstein-photoelectric-effect,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/einstein-photoelectric-effect/,568,2026-09-03 03:11:09
باتری کوانتومی؛ چرا بزرگ تر یعنی سریع تر؟,quantum-battery,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/quantum-battery/,2492,2026-09-05 23:05:17
برتری کوانتومی چیست؟,quantum-supremacy,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-supremacy/,2250,2026-09-05 22:38:18
برهم نهی چیست؟ وقتی یک ذره «هم این است هم آن»,superposition-explained,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/superposition-explained/,569,2026-09-03 03:01:36
برهم نهی یعنی چه، و چرا اشیای بزرگ برهم نهی نمی شوند,why-large-objects-dont-superpose,publish,مبانی و مفاهیم کوانتوم,,https://qpedia.ir/why-large-objects-dont-superpose/,570,2026-09-03 02:48:36
برهم‌نهی کوانتومی,quantum-superposition,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/quantum-superposition/,287,2026-08-22 23:07:34
بهترین مستندهای فیزیک کوانتوم که باید ببینید,quantum-documentaries,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/quantum-documentaries/,2503,2026-09-05 23:25:55
بوزون هیگز چیست؟,higgs-boson,publish,مبانی و مفاهیم کوانتوم,ذرات بنیادی,https://qpedia.ir/higgs-boson/,2231,2026-09-05 22:38:18
تابع موج چیست؟,wave-function,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/wave-function/,289,2026-09-03 03:40:21
ترازهای انرژی و کوانتش,energy-levels,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/energy-levels/,293,2026-09-03 03:36:46
تراشهٔ ویلو؛ گوگل واقعاً چه چیزی را ثابت کرد؟,willow-chip,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/willow-chip/,2516,2026-09-06 00:53:19
ترانزیستور؛ کوانتوم در جیب شما,transistor-quantum,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/transistor-quantum/,314,2026-09-03 03:25:00
ترمودینامیک کوانتومی؛ موتوری به اندازهٔ یک اتم,quantum-thermodynamics,publish,پدیده‌های کوانتومی,,https://qpedia.ir/quantum-thermodynamics/,2498,2026-09-05 23:05:17
تصحیح خطای کوانتومی چیست؟,quantum-error-correction,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-error-correction/,2253,2026-09-05 22:38:18
تصحیح خطای کوانتومی؛ نقطهٔ عطف گوگل در نیچر,google-error-correction,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/google-error-correction/,2477,2026-09-05 22:39:44
تفاوت جبرگرایی کلاسیک و احتمال کوانتومی,determinism-vs-probability,publish,مبانی و مفاهیم کوانتوم,,https://qpedia.ir/determinism-vs-probability/,571,2026-09-03 02:58:03
تفاوت فیزیک کوانتوم و مکانیک کوانتومی چیست؟,quantum-physics-vs-quantum-mechanics,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/quantum-physics-vs-quantum-mechanics/,572,2026-09-01 09:01:13
تفسیر جهان‌های موازی,many-worlds-interpretation,publish,تفسیرها و فلسفهٔ کوانتوم,,https://qpedia.ir/many-worlds-interpretation/,311,2026-09-03 03:22:45
تفسیر دوبروی-بوهم چیست؟,pilot-wave,publish,تفسیرها و فلسفهٔ کوانتوم,,https://qpedia.ir/pilot-wave/,2259,2026-09-05 22:38:18
تفسیر کپنهاگی,copenhagen-interpretation,publish,تفسیرها و فلسفهٔ کوانتوم,,https://qpedia.ir/copenhagen-interpretation/,310,2026-09-03 03:21:45
تله پورت پیوسته؛ موج نور نه فقط کیوبیت,continuous-variable-teleportation,publish,پدیده‌های کوانتومی,,https://qpedia.ir/continuous-variable-teleportation/,2760,2026-09-09 18:03:03
تله پورت کوانتومی چیست؟,quantum-teleportation,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-teleportation/,545,2026-09-01 04:03:21
تمثیل تاس در مقابل تمثیل سکه: کدام برای عدم قطعیت بهتر است؟,coin-vs-dice-quantum-uncertainty,publish,مبانی و مفاهیم کوانتوم,,https://qpedia.ir/coin-vs-dice-quantum-uncertainty/,573,2026-09-01 09:01:13
تمرین ذهنی: خودتان یک تمثیل بسازید و مرزش را پیدا کنید,quantum-analogy-exercise-boundary,publish,مبانی و مفاهیم کوانتوم,,https://qpedia.ir/quantum-analogy-exercise-boundary/,574,2026-09-01 09:01:13
تونل‌زنی کوانتومی,quantum-tunneling,publish,پدیده‌های کوانتومی,,https://qpedia.ir/quantum-tunneling/,299,2026-08-23 00:29:03
ثابت پلانک؛ کوچک‌ترین واحد جهان,planck-constant,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/planck-constant/,295,2026-09-03 03:34:46
جاودانگی کوانتومی؛ کجای این استدلال می لنگد؟,quantum-immortality,publish,نقد شبه‌علم,,https://qpedia.ir/quantum-immortality/,2536,2026-09-06 02:45:33
حافظه بلندمدت مغز کوانتومی است؟,quantum-long-term-memory,publish,فناوری و کاربردهای کوانتومی,زیست‌شناسی کوانتومی,https://qpedia.ir/quantum-long-term-memory/,2745,2026-09-09 09:53:07
حافظهٔ فلش چطور کار می‌کند؟,flash-memory,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/flash-memory/,2247,2026-09-05 22:38:18
حباب هیجان کوانتومی؛ چقدرش واقعی است؟,quantum-hype-bubble,publish,نقد شبه‌علم,,https://qpedia.ir/quantum-hype-bubble/,2530,2026-09-06 02:34:03
حس بویایی؛ شکل یا ارتعاش؟,quantum-smell,publish,فناوری و کاربردهای کوانتومی,زیست‌شناسی کوانتومی,https://qpedia.ir/quantum-smell/,319,2026-09-03 03:19:19
حسگرهای کوانتومی؛ آیندهٔ دقت اندازه‌گیری,quantum-sensors,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-sensors/,2087,2026-09-03 02:47:09
داروینیسم کوانتومی؛ چرا همه یک واقعیت می بینیم؟,quantum-darwinism,publish,تفسیرها و فلسفهٔ کوانتوم,,https://qpedia.ir/quantum-darwinism/,2482,2026-09-05 22:39:44
درهم‌تنیدگی در کامپیوترهای کوانتومی امروزی,entanglement-quantum-computers,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/entanglement-quantum-computers/,2088,2026-09-02 21:06:28
درهم‌تنیدگی کوانتومی,quantum-entanglement-explained,publish,پدیده‌های کوانتومی,,https://qpedia.ir/quantum-entanglement-explained/,298,2026-08-23 00:29:03
ده دیدگاه فیزیکدانان بزرگ دربارهٔ عجایب کوانتوم,physicists-on-quantum-weirdness,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/physicists-on-quantum-weirdness/,2502,2026-09-05 23:25:55
دوگانگی موج و ذره,wave-particle-duality,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/wave-particle-duality/,288,2026-09-03 03:42:05
دیراک و پیش‌بینی پادماده؛ وقتی ریاضیات از واقعیت جلو زد,dirac-antimatter,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/dirac-antimatter/,2089,2026-09-03 02:08:13
ذرات مجازی چیستند؟,virtual-particles,publish,مبانی و مفاهیم کوانتوم,ذرات بنیادی,https://qpedia.ir/virtual-particles/,2234,2026-09-05 22:38:18
رادار کوانتومی؛ آیا جنگندهٔ رادارگریز را می بیند؟,quantum-radar,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-radar/,2496,2026-09-05 23:05:17
رمزنگاری پساکوانتومی؛ قفل های تازهٔ اینترنت,post-quantum-cryptography,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/post-quantum-cryptography/,2479,2026-09-05 22:39:44
رمزنگاری کوانتومی و آیندهٔ امنیت اینترنت,quantum-cryptography-internet-security,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-cryptography-internet-security/,512,2026-09-03 03:11:54
روز کیو چیست و واقعاً کِی می رسد؟,q-day,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/q-day/,2514,2026-09-06 00:53:19
زنان فراموش‌شدهٔ فیزیک کوانتوم,forgotten-women-quantum,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/forgotten-women-quantum/,2090,2026-09-02 21:06:28
ساعت اتمی و جی‌پی‌اس,atomic-clock-gps,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/atomic-clock-gps/,315,2026-09-03 03:25:44
شبیه‌سازی کوانتومی چیست؟,quantum-simulation,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-simulation/,2258,2026-09-05 22:38:18
شرودینگر: زندگی، معادله و گربه‌ای که هرگز نداشت,schrodinger-life-equation,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/schrodinger-life-equation/,2091,2026-09-03 02:43:49
شفای کوانتومی؛ چرا این ادعا شبه علم است؟,quantum-healing-debunked,publish,نقد شبه‌علم,,https://qpedia.ir/quantum-healing-debunked/,2485,2026-09-05 22:39:44
شیمی کوانتومی چیست؟ چرا دستتان از دیوار رد نمی شود,quantum-chemistry,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/quantum-chemistry/,2480,2026-09-05 22:39:44
صد سالگی کوانتوم؛ از جزیرهٔ هلگولاند تا امروز,quantum-century-2025,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/quantum-century-2025/,2524,2026-09-06 01:32:27
صفر مطلق چیست؟,absolute-zero,publish,پدیده‌های کوانتومی,,https://qpedia.ir/absolute-zero/,2241,2026-09-05 22:38:18
عدد تصادفی کوانتومی؛ تنها تصادف واقعی جهان,quantum-random-number-generator,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-random-number-generator/,2527,2026-09-06 02:34:03
فاجعهٔ فرابنفش,ultraviolet-catastrophe,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/ultraviolet-catastrophe/,307,2026-08-23 01:33:42
فاینمن: نابغه‌ای که کوانتوم را ساده توضیح می‌داد,feynman-quantum-explainer,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/feynman-quantum-explainer/,2092,2026-09-02 21:06:29
فتوسنتز؛ کارآمدترین ماشین جهان و رد پای کوانتوم,quantum-photosynthesis,publish,فناوری و کاربردهای کوانتومی,زیست‌شناسی کوانتومی,https://qpedia.ir/quantum-photosynthesis/,510,2026-09-03 03:06:27
فوتون دقیقا چیست ؟,photon,publish,مبانی و مفاهیم کوانتوم,ذرات بنیادی,https://qpedia.ir/photon/,504,2026-09-03 03:16:46
فیبر نوری چگونه کار می‌کند؟,fiber-optics,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/fiber-optics/,2249,2026-09-05 22:38:18
فیزیک کوانتوم در فیلم مرد مورچه ای؛ واقعیت یا تخیل؟,quantum-physics-in-movies-ant-man,publish,نقد شبه‌علم,,https://qpedia.ir/quantum-physics-in-movies-ant-man/,2504,2026-09-05 23:25:55
قانون جذب و کوانتوم؛ کجای این استدلال می لنگد؟,law-of-attraction-quantum,publish,نقد شبه‌علم,,https://qpedia.ir/law-of-attraction-quantum/,2512,2026-09-06 00:53:19
قضیهٔ عدم کپی؛ چرا کوانتوم را نمی توان تکثیر کرد؟,no-cloning-theorem,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/no-cloning-theorem/,2509,2026-09-06 00:02:42
قطب‌نمای پرندگان,bird-quantum-compass,publish,فناوری و کاربردهای کوانتومی,زیست‌شناسی کوانتومی,https://qpedia.ir/bird-quantum-compass/,318,2026-09-03 03:18:13
لیزر چطور کار می‌کند؟,how-lasers-work,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/how-lasers-work/,313,2026-09-03 03:23:50
مایع اسپینی کوانتومی؛ ماده ای که هرگز آرام نمی گیرد,quantum-spin-liquid,publish,پدیده‌های کوانتومی,,https://qpedia.ir/quantum-spin-liquid/,2497,2026-09-05 23:05:17
مدل اتمی بور,bohr-atomic-model,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/bohr-atomic-model/,308,2026-08-23 01:33:42
مدل استاندارد چیست؟,standard-model,publish,مبانی و مفاهیم کوانتوم,ذرات بنیادی,https://qpedia.ir/standard-model/,2233,2026-09-05 22:38:18
منابع معتبر فارسی و انگلیسی برای یادگیری عمیق‌تر کوانتوم,quantum-learning-resources,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/quantum-learning-resources/,2093,2026-09-02 21:06:29
میون و تاو؛ پسرعموهای سنگین الکترون,muon-and-tau,publish,مبانی و مفاهیم کوانتوم,ذرات بنیادی,https://qpedia.ir/muon-and-tau/,2742,2026-09-10 07:28:40
میکروسکوپ تونلی چیست؟,scanning-tunneling-microscope,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/scanning-tunneling-microscope/,2248,2026-09-05 22:38:18
نامساوی بل,bell-inequality,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/bell-inequality/,309,2026-09-03 03:21:12
ناوبری کوانتومی؛ مسیریابی بدون ماهواره,quantum-navigation,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-navigation/,2534,2026-09-06 02:45:33
نبرد اینشتین و بور بر سر معنای کوانتوم,einstein-bohr-debate,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/einstein-bohr-debate/,2094,2026-09-02 21:06:29
نظریهٔ ریسمان و کوانتوم؛ جهان از جنس نت است؟,string-theory-quantum,publish,تفسیرها و فلسفهٔ کوانتوم,,https://qpedia.ir/string-theory-quantum/,2486,2026-09-05 22:39:44
نقشهٔ ذهنی پنج‌گانه برای فهم درست کوانتوم,quantum-fivefold-mental-map,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/quantum-fivefold-mental-map/,2086,2026-09-03 02:40:17
نقطهٔ کوانتومی؛ کوانتومی که در تلویزیون شماست,quantum-dots-displays,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/quantum-dots-displays/,2515,2026-09-06 00:53:19
نوبل فیزیک ۲۰۲۳؛ عکاسی از حرکت الکترون,attosecond-nobel-2023,publish,تاریخ و آزمایش‌های کوانتوم,آزمایش‌های کوانتومی,https://qpedia.ir/attosecond-nobel-2023/,2489,2026-09-05 23:05:17
نوبل فیزیک ۲۰۲۵؛ وقتی یک مدار مثل اتم رفتار کرد,nobel-physics-2025,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/nobel-physics-2025/,2513,2026-09-06 00:53:19
نوترینو چیست؟,neutrino,publish,مبانی و مفاهیم کوانتوم,ذرات بنیادی,https://qpedia.ir/neutrino/,2230,2026-09-05 22:38:18
نوسانات خلأ,vacuum-fluctuations,publish,پدیده‌های کوانتومی,,https://qpedia.ir/vacuum-fluctuations/,303,2026-08-23 00:29:03
همجوشی ستارگان چگونه ممکن است؟,stellar-fusion,publish,پدیده‌های کوانتومی,,https://qpedia.ir/stellar-fusion/,2255,2026-09-05 22:38:18
همدوسی چیست؟,coherence,publish,پدیده‌های کوانتومی,,https://qpedia.ir/coherence/,2240,2026-09-05 22:38:18
واهمدوسی؛ چرا دنیا عادی است!,decoherence,publish,مبانی و مفاهیم کوانتوم,مفاهیم پایه,https://qpedia.ir/decoherence/,294,2026-09-03 03:32:17
واپاشی آلفا چیست؟,alpha-decay,publish,پدیده‌های کوانتومی,,https://qpedia.ir/alpha-decay/,2242,2026-09-05 22:38:18
پادماده در پزشکی؛ اسکن پت چطور کار می کند؟,pet-scan-antimatter,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/pet-scan-antimatter/,2491,2026-09-05 23:05:17
پادماده چیست؟,antimatter,publish,مبانی و مفاهیم کوانتوم,ذرات بنیادی,https://qpedia.ir/antimatter/,2232,2026-09-03 19:26:44
پارادوکس EPR؛ اعتراض اینشتین که فیزیک را جلو برد,epr-paradox,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/epr-paradox/,2508,2026-09-06 00:02:42
پارادوکس اطلاعات سیاه چاله؛ معمای هاوکینگ,black-hole-information-paradox,publish,پدیده‌های کوانتومی,,https://qpedia.ir/black-hole-information-paradox/,2500,2026-09-05 23:25:55
پارادوکس دوست ویگنر؛ آیا واقعیت برای همه یکی است؟,wigner-friend,publish,تفسیرها و فلسفهٔ کوانتوم,,https://qpedia.ir/wigner-friend/,2535,2026-09-06 02:45:33
پاک کن کوانتومی؛ آیا آینده بر گذشته اثر می گذارد؟,quantum-eraser,publish,تاریخ و آزمایش‌های کوانتوم,آزمایش‌های کوانتومی,https://qpedia.ir/quantum-eraser/,2522,2026-09-06 01:32:27
پایان قانون مور؛ چرا ترانزیستورها به دیوار خوردند؟,moore-law-quantum-limit,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/moore-law-quantum-limit/,2523,2026-09-06 01:32:27
پردازندهٔ IBM Condor؛ چرا هزار کیوبیت کافی نیست,ibm-condor-processor,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/ibm-condor-processor/,2490,2026-09-05 23:05:17
پروتون از چه ساخته شده؟ کوارک کافی نیست,proton-neutron-quark-structure,publish,مبانی و مفاهیم کوانتوم,ذرات بنیادی,https://qpedia.ir/proton-neutron-quark-structure/,2743,2026-09-10 16:19:07
پلانک و بحران تابش جسم سیاه؛ جرقه‌ای که فیزیک را متحول کرد,max-planck-blackbody,publish,تاریخ و آزمایش‌های کوانتوم,تاریخ کوانتوم,https://qpedia.ir/max-planck-blackbody/,2095,2026-09-03 02:35:58
پنل خورشیدی و اثر فوتوالکتریک؛ تبدیل نور به جریان زندگی,solar-cells-photoelectric,publish,فناوری و کاربردهای کوانتومی,فناوری‌های روزمره,https://qpedia.ir/solar-cells-photoelectric/,2096,2026-09-03 02:39:07
پیوند جوزفسون؛ قلب تپندهٔ کامپیوتر کوانتومی,josephson-junction,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/josephson-junction/,2533,2026-09-06 02:45:33
